"KndNR";"Filialnummer";"PLZ";"Ort";"Bezirk";"Straße";"Telefon";"Fax";"Land";"Info";"Kontakt"
18;1046;12099;"Berlin";"Tempelhof";"Oberlandstr. 17";3062726800;;;;
18;1056;15831;"Mahlow";;"Berliner Damm 159 - 161";33792066820;;;;
18;1244;12307;"Berlin";"Tempelhof/Schöneb.";"Nuthestr. 5";3070762920;;;;
18;1309;14478;"Potsdam";;"Horstweg 96";33187000750;;;;
18;1323;14542;"Werder";;"Berliner Str. 88/Kugelweg";33276680790;;;;
18;1327;14943;"Luckenwalde";;"Schützenstraße 46";33714007450;;;;
18;1443;14776;"Brandenburg";;"Potsdamer Straße 23";33812099470;;;;
18;1509;14913;"Jüterbog";;"Vorstadt Neumarkt 5 - 7";33724407300;;;;
18;1522;14467;"Potsdam";;"Berliner Str. 121";33123700650;;;;
18;1534;12205;"Berlin";"Steglitz/Zehlendorf";"Curtiusstr. 36";3081058100;;;;
18;1619;14974;"Ludwigsfelde";;"Am Bahnhof 2 A";33785100670;;;;
18;1626;14532;"Kleinmachnow";;"Karl-Marx-Str. 38 - 42";33203833950;;;;
18;1770;14471;"Potsdam";;"Zeppelinstr. 56";33195130440;;;;
18;1776;12167;"Berlin";"Steglitz/Zehlendorf";"Birkbuschstr. 54";3076686480;;;;
18;1915;14806;"Belzig";;"Brücker Landstr. 5";33841380850;;;;
18;1934;10965;"Berlin";"Schöneberg";"Kreuzberger Str. 40";3076765700;;;;
18;1937;12247;"Berlin";"Steglitz/Zehlendorf";"Kaiser-Wilhelm-Str. 127";3081001390;;;;
18;1948;10629;"Berlin";"Charlottenburg";"Gervinusstr. 30";3032301760;;;;
18;1961;10999;"Berlin";"Kreuzberg";"Oranienplatz 4";3061652500;;;;
18;1974;10719;"Berlin";"Charlottenbg./Wilm.";"Meinekestr. 22";3088774700;;;;
18;1999;10589;"Berlin";"Charlottenbg./Wilm.";"Lise-Meitner-Str. 6";3043729380;;;;
18;2004;12169;"Berlin";"Steglitz";"Steglitzer Damm 95";3051655330;;;;
18;2036;10245;"Berlin";"Friedrichsh./Kreuzberg";"Markgrafendamm 25 c";3024647930;;;;
18;2343;15806;"Zossen";;"Stubenrauchstraße 25a";33773300510;;;;
18;3005;12109;"Berlin";"Tempelhof";"Ullsteinstr. 135 - 141";3070072300;;;;
18;3033;14195;"Berlin";"Zehlendorf";"Hüttenweg 50";3084720200;;;;
18;3064;12157;"Berlin";"Tempelhof";"Vorarlberger Damm 24/26";3080107700;;;;
18;3091;14167;"Berlin";"Zehlendorf";"Mühlenstr. 2";3063494600;;;;
18;3139;12099;"Berlin";"Tempelhof";"Tempelhofer Damm 130";3075514430;;;;
18;3207;12053;"Berlin";"Neukölln";"Flughafenstr. 1";3063494900;;;;
18;3208;10709;"Berlin";"Charlottenbg./Wilm.";"Eisenzahnstr. 13 - 15";3089049890;;;;
18;3364;12247;"Berlin";"Steglitz/Zehlendorf";"Kaiser-Wilhelm-Str. 6";3076807970;;;;
18;3441;14532;"Stahnsdorf";;"Wannseestr. 17";33296979630;;;;
18;3445;12107;"Berlin";"Tempelhof";"Großbeerenstr. 2";3074304970;;;;
18;3478;12305;"Berlin";"Tempelhof";"Lichtenrader Damm 219 - 223";3076289790;;;;
18;3483;10997;"Berlin";"Friedrichsh./Kreuzberg";"Zeughofstraße 23 a";3061671690;;;;
18;3501;10827;"Berlin";"Schöneberg";"Hauptstr. 122";"03078951900-1";;;;
18;3678;10965;"Berlin";"Tempelhof ";"Dudenstraße 90";3074684250;;;;
18;3688;14169;"Berlin";"Steglitz-Zehlendorf";"Clayallee 278";3081058470;;;;
18;3882;12207;"Berlin";"Steglitz";"Wismarerstr. 35";3084788370;;;;
18;3897;12279;"Berlin";"Tempelhof";"Marienfelder Allee 202";30756597501;;;;
18;3978;14547;"Beelitz";;"Clara-Zetkin-Str. 37";33204633040;;;;
18;4998;10969;"Berlin";"Kreuzberg";"Charlottenstr. 2";3025940860;;;;
18;5043;14797;"Kloster-Lehnin";;"Emstaler Landstraße 40";33827056580;;;;
18;5080;12043;"Berlin";"Neukölln";"Donautstr. 96";3068977060;;;;
18;5122;12163;"Berlin";"Steglitz";"Schloßstr. 1";3070096210;;;;
18;5225;12353;"Berlin";"Neukölln";"Lipschitzallee 50";3066765720;;;;
18;5439;14959;"Trebbin";;"Berliner Tor 3";;;;;
18;5497;14167;"Berlin";"Zehlendorf";"Teltower Damm 295";3086203490;;;;
18;8296;10967;"Berlin";"Friedrichshain/Kreuzb.";"Hasenheide  32/38";3069564700;;;;
18;8325;10715;"Berlin";"Charlottenbg./Wilm.";"Berliner Str. 26/27";3086313770;;;;
18;8339;12153;"Berlin";"Steglitz";"Rothenburgstr. 38 A";3079788260;;;;
18;8342;12047;"Berlin";"Neukölln";"Maybachufer 32 - 33";3062725700;;;;
18;8348;14480;"Potsdam";;"Großbeerenstr. 265";33160060650;;;;
18;8351;12347;"Berlin";"Tempelhof";"Tempelhofer Weg 14";3062726900;;;;
18;8355;10999;"Berlin";"Friedrichshain/Kreuzb.";"Kottbusser Str. 16 a";3069566600;;;;
18;8357;12277;"Berlin";"Tempelhof";"Säntisstr. 49";3070766000;;;;
18;8364;10627;"Berlin";"Charlottenbg./Wilmer.";"Wilmersdorfer Str. 126";3037591620;;;;
18;8365;10245;"Berlin";"Friedrichshain/Kreuzb.";"Am Ostbahnhof 9";3097002800;;;;
18;8368;12103;"Berlin";"Tempelhof";"Manteuffelstr. 24 - 25";3075659340;;;;
18;8375;12169;"Berlin";"Steglitz";"Bergstr. 86";3079788240;;;;
18;8376;12349;"Berlin";"Neukölln";"Buckower Damm 194";3066620970;;;;
18;8377;12049;"Berlin";"Neukölln";"Hermannstr. 55";3062725600;;;;
18;8383;12277;"Berlin";"Tempelhof";"Malteser Str. 162";3075658750;;;;
18;8387;14059;"Berlin";"Charlottenbg./Wilmer.";"Fürstenbrunner Weg 14 - 18";3030833890;;;;
18;8393;10179;"Berlin";"Mitte";"Alte-Jacobstr. 79/80";3097894070;;;;
18;8394;14059;"Berlin";"Charlottenbg./Wilmer.";"Sophie-Charlotten-Str. 31";3030839520;;;;
18;8396;14480;"Potsdam";;"Zum Kirchsteigfeld 12";33160060710;;;;
18;8674;14772;"Brandenburg";;"Upstallstraße 22";33817300380;;;;
18;8725;14470;"Brandenburg";;"Friedrich-Franz-Str. 4";33813159230;;;;
18;8741;14469;"Potsdam";;"Potsdamer Str. 41 - 42";33150540580;;;;
18;8743;10245;"Berlin";"Friedrichshain/Kreuzb.";"Warschauer Platz 14";3097002700;;;;
18;8751;10787;"Berlin";"Schöneberg";"Kleiststr. 3 - 6";3023629339;;;;
18;8757;10827;"Berlin";"Schöneberg";"Innsbrucker Platz";3085072480;;;;
18;8758;14513;"Teltow";;"Elbestr. 1";33283084800;;;;
18;8766;10783;"Berlin";"Schöneberg";"Goebenstr. 1";3021912750;;;;
18;8769;10247;"Berlin";"Friedrichshain/Kreuzb.";"Boxhagener Str. 76 - 78";3097002630;;;;
18;8775;12359;"Berlin";"Neukölln";"Gutschmidstr. 101";3066526280;;;;
18;8779;12051;"Berlin";"Neukölln";"Glasower Str. 42";3062726700;;;;
18;8784;10963;"Berlin";"Kreuzberg";"Köthener Str. 28";3026949730;;;;
18;8788;12349;"Berlin";"Neukölln";"Warmensteinacher Str. 57";3076106770;;;;
9;1;15345;"Petershagen/Eggersdf.";;"Am Fuchsbau 04";3341420213;;;;
9;2;16269;"Wriezen";;"Heinrich-Lehmpuhl-Str. 25";3345615399;;;;
9;3;15344;"Strausberg";;"Am Annatal 59";3341302803;;;;
9;4;10409;"Berlin";"Pankow";"Greifswalder Str. 168";3040393376;;;;
9;5;16352;"Schönwalde";;"Hauptstr. 64";33056230964;;;;
9;6;13055;"Berlin";"Lichtenberg";"Landsberger Allee 277";3097603568;;;;
9;7;13055;"Berlin";"Lichtenberg";"Hauptstr. 9/ Storchenhof";3086204983;;;;
9;8;12683;"Berlin";"Marzahn-Hellersdf.";"Dingolfinger Str. 1";3051652363;;;;
9;9;15370;"Fredersdorf-Vogelsdf. ";;"Frankfurter Chaussee 48";3343918416;;;;
9;10;10367;"Berlin";"Lichtenberg";"Josef-Orlopp-Str. 22 - 24";3055151183;;;;
9;11;12619;"Berlin";"Marzahn-Hellersdf.";"Gülzower Str. 74";3054712830;;;;
9;12;16356;"Eiche";;"Landsberger Chaussee 7 - 9";3099275587;;;;
9;13;13156;"Berlin";;"Buchholzer Str. 62 - 65";3048621073;;;;
9;14;10365;"Berlin";"Lichtenberg";"Coppistr. 5";3055151679;;;;
9;15;16259;"Bad Freienwalde";;"Am Pollerdamm 2";3344300851;;;;
9;16;16321;"Lindenberg";;"Glaserwinkel 1";3094413799;;;;
9;17;15370;"Fredersdorf ";;"Fredersdorfer Ch. 75 - 77";3343951148;;;;
9;18;13059;"Berlin";"Bln.-Hohenschönhausen";"Egon-Erwin-Kisch-Str. 80";3092404513;;;;
9;19;15306;"Seelow";;"Diedersdorfer Str. 12 b";3346854229;;;;
9;20;10437;"Berlin";"Pankow";"Schwedter Str. 83";3044017585;;;;
9;21;12681;"Berlin";"Marzahn-Hellersdf.";"Frank-Zappa-Str. 7";3054986018;;;;
9;22;13189;"Berlin";"Pankow";"Neumannstr. 13";3047376961;;;;
9;23;12621;"Berlin";"Marzahn-Hellersdf.";"Alt-Kaulsdorf 64";3056586488;;;;
9;24;10409;"Pankow";"Pankow";"Ostseestr. 25";3040043319;;;;
9;25;16303;"Schwedt";;"Landgrabenpark 2";3332268428;;;;
9;26;17291;"Prenzlau";;"Neubrandenburger Str. 21";3984718326;;;;
9;27;16227;"Eberswalde";;"Eberswalder Str. 97";3334383976;;;;
9;28;16278;"Angermünde";;"Schwedter Straße 21";3331298484;;;;
9;29;16356;"Seefeld";;"Gewerbeparkstr. 6";3339868069;;;;
9;30;15562;"Rüdersdorf";;"Bergstr. 1";33638298957;;;;
9;31;17268;"Templin";;"Vietmannsdorfer Str. ";3987208144;;;;
9;32;16321;"Bernau";;"Krokusstr. 3";3338700402;;;;
9;33;13051;"Berlin";"Lichtenberg";"Prerower Platz 1";3092093287;;;;
9;34;15566;"Schöneiche";;"Kalkberger Str. 10 - 12";3064905169;;;;
9;35;16247;"Joachimsthal";;"Töpferstraße 47";33361649037;;;;
9;36;13158;"Berlin";"Pankow";"Hauptstr. 119";3041475736;;;;
9;37;13158;"Berlin";"Pankow";"Dietzgenstraße 86";3040046776;;;;
9;38;12681;"Berlin";"Marzahn-Hellersdf.";"Marzahner Chaussee 200";3054709997;;;;
9;39;15366;"Dahlwitz-Hoppegarten";;"Lindenallee 2";3342308464;;;;
9;41;13059;"Berlin";"Lichtenberg";"Dorfstraße 22";3092094894;;;;
9;42;12627;"Berlin";"Marzahn-Hellersdf.";"Tangermünder Straße 125";3094395993;;;;
9;43;15374;"Müncheberg";;"Karl-Marx-Straße 42";33432747041;;;;
9;44;10249;"Berlin";"Berlin-Friedrichshain ";"Weinstraße  9";3024047141;;;;
9;45;13187;"Berlin";"Pankow";"Damerowstraße 8";3047480520;;;;
9;46;10365;"Berlin";"Lichtenberg";"Frankfurter Allee 117";3055152270;;;;
9;47;13129;"Berlin";"Pankow";"Treseburger Str. 26";3047469998;;;;
9;48;16303;"Schwedt";;"Berliner Allee 17 d";3332267547;;;;
9;49;13088;"Berlin";"Pankow";"Gehringstraße 26 - 30";3092371837;;;;
9;50;13086;"Berlin";"Pankow";"Rennbahnstraße 65";3092370608;;;;
9;51;13125;"Berlin";"Pankow";"Zepernicker Straße 10";3091202526;;;;
9;52;15366;"Hönow";;"Mahlsdorfer Straße 56";3342211046;;;;
9;53;10117;"Berlin";"Mitte/Potsd.Arkaden";"Alte Potsdamer Straße 7";3025292562;;;;
9;54;12681;"Berlin";"Marzahn-Hellersdf.";"Hellersdorfer Weg 34";3093024709;;;;
9;55;15366;"Neuenhagen";;"Altlandsberger Ch.1/Planstr.";3342422498;;;;
9;56;13127;"Berlin";"Pankow";"Hauptstraße 37";3047487366;;;;
9;57;10243;"Berlin";"Friedrichshain ";"Rüdersdorfer Straße 65 - 70";3025768929;;;;
9;58;10315;"Berlin";"Lichtenberg";"Einbecker Straße 74";3051064995;;;;
9;59;16348;"Wandlitz";;"Berliner Weg 7 a";3339728430;;;;
9;60;13088;"Berlin";"Pankow";"Chopinstraße 28";3092373888;;;;
9;61;16321;"Bernau";;"Potsdamer Straße 1";3338701479;;;;
9;62;15344;"Strausberg";;"Akazienstraße 1";3341305064;;;;
9;63;16359;"Biesenthal";;"Bahnhofstraße 77";3337425957;;;;
9;64;13187;"Berlin";"Pankow";"Esplanade 9";3040003236;;;;
9;65;13158;"Berlin";"Pankow";"Straße v. Schönholz 21";3040394745;;;;
9;66;12679;"Berlin";"Marzahn ";"Jan-Petersen-Str. 16";3093024863;;;;
9;67;10369;"Berlin";"Lichtenberg";"Storkower Straße 176";3097603123;;;;
9;68;12689;"Berlin";"Marzahn ";"Havemannstraße 33";3097427801;;;;
